ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0042578,phosphoric ester hydrolase activity,2/123,346/28171,0.44716842345056595,0.5255897514437622,0.4496273228725251,320981/545902,2
GO:0015276,ligand-gated monoatomic ion channel activity,1/123,137/28171,0.45170012365669265,0.528942523984603,0.45249552594839887,19229,1
GO:0008509,monoatomic anion transmembrane transporter activity,1/123,140/28171,0.4588858056968794,0.5333912501642695,0.45630128669023556,55961,1
GO:0022834,ligand-gated channel activity,1/123,140/28171,0.4588858056968794,0.5333912501642695,0.45630128669023556,19229,1
GO:0042826,histone deacetylase binding,1/123,141/28171,0.46126021424096564,0.5341800275217066,0.4569760636443004,21973,1
GO:0015103,inorganic anion transmembrane transporter activity,1/123,142/28171,0.4636242882205719,0.5349511017929676,0.45763569610359134,55961,1
GO:0042277,peptide binding,2/123,361/28171,0.4689605568586547,0.5391334868995482,0.46121360951139306,381853/15015,2
GO:0008194,UDP-glycosyltransferase activity,1/123,148/28171,0.47759419129565517,0.547062437302296,0.46799660467631665,22239,1
GO:0008083,growth factor activity,1/123,149/28171,0.47988716187234703,0.5476973043108309,0.46853971563432817,18205,1
GO:0004497,monooxygenase activity,1/123,153/28171,0.48895964477365284,0.5540370075672685,0.47396315434326064,13113,1
GO:0070851,growth factor receptor binding,1/123,153/28171,0.48895964477365284,0.5540370075672685,0.47396315434326064,16161,1
GO:0005178,integrin binding,1/123,154/28171,0.49120312980801806,0.5545841788155043,0.4744312440326453,23876,1
GO:0003729,mRNA binding,2/123,380/28171,0.4958256151241136,0.5578038170146278,0.47718555440516197,12696/244551,2
GO:0015081,sodium ion transmembrane transporter activity,1/123,158/28171,0.5000797984381999,0.5605876744058114,0.4795670664925236,55961,1
GO:0004721,phosphoprotein phosphatase activity,1/123,159/28171,0.5022748573320026,0.5610517023389391,0.4799640294027349,545902,1
GO:0020037,heme binding,1/123,160/28171,0.504460356137806,0.5615018098353671,0.48034908376893565,13113,1
GO:0016874,ligase activity,1/123,163/28171,0.5109599041134867,0.5667336964639025,0.4848248163567554,227231,1
GO:0045182,translation regulator activity,1/123,164/28171,0.5131075737719428,0.5671188973268843,0.4851543449145609,12696,1
GO:0046906,tetrapyrrole binding,1/123,169/28171,0.5237063973981952,0.5768094936378724,0.49344437885144643,13113,1
GO:0005506,iron ion binding,1/123,170/28171,0.5257985377138876,0.5770959560274377,0.4936894394086017,13113,1
GO:0046943,carboxylic acid transmembrane transporter activity,1/123,171/28171,0.5278815626008986,0.5773704590947328,0.49392426910025605,11989,1
GO:0005342,organic acid transmembrane transporter activity,1/123,172/28171,0.5299555114509016,0.5776331699205329,0.4941490108593365,11989,1
GO:0022804,active transmembrane transporter activity,2/123,414/28171,0.5417132056241386,0.5884126199020816,0.503370528638038,55961/20528,2
GO:0019903,protein phosphatase binding,1/123,185/28171,0.5561085461891204,0.6019731685552334,0.5149711984967077,80891,1
GO:0046873,metal ion transmembrane transporter activity,2/123,430/28171,0.5622968321107595,0.6058766041961112,0.5183104784434569,12290/55961,2
GO:0005216,monoatomic ion channel activity,2/123,431/28171,0.5635614127919384,0.6058766041961112,0.5183104784434569,12290/19229,2
GO:0002020,protease binding,1/123,192/28171,0.5695877127330304,0.6061490861854885,0.5185435791595157,12062,1
GO:0005516,calmodulin binding,1/123,192/28171,0.5695877127330304,0.6061490861854885,0.5185435791595157,17357,1
GO:0016758,hexosyltransferase activity,1/123,192/28171,0.5695877127330304,0.6061490861854885,0.5185435791595157,22239,1
GO:0004674,protein serine/threonine kinase activity,2/123,442/28171,0.5773006559153787,0.611994635913094,0.5235442833542259,19229/73542,2
GO:1901981,phosphatidylinositol phosphate binding,1/123,197/28171,0.578966353974927,0.611994635913094,0.5235442833542259,329502,1
GO:0003779,actin binding,2/123,447/28171,0.5834417451361391,0.614662708086568,0.5258267444282754,77767/17357,2
GO:0008237,metallopeptidase activity,1/123,201/28171,0.586323088342855,0.6154977150341783,0.5265410695029227,242939,1
GO:0004518,nuclease activity,1/123,202/28171,0.5881422610326592,0.6154977150341783,0.5265410695029227,66705,1
GO:0000287,magnesium ion binding,1/123,211/28171,0.6041618210003663,0.6301687868050179,0.539091760808971,21973,1
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",1/123,230/28171,0.6359794313967486,0.6611667356104812,0.5656096384838203,13113,1
GO:0019902,phosphatase binding,1/123,236/28171,0.6454898798417696,0.6688464215465705,0.5721793948735909,80891,1
GO:0016791,phosphatase activity,1/123,259/28171,0.6797178255844165,0.7020036559314465,0.600544480930494,545902,1
GO:0016757,glycosyltransferase activity,1/123,267/28171,0.6908376938027215,0.7111564495028015,0.6083744396749113,22239,1
GO:0031267,small GTPase binding,1/123,290/28171,0.7207188957658411,0.7370988706696102,0.6305674549420893,269589,1
GO:0035091,phosphatidylinositol binding,1/123,290/28171,0.7207188957658411,0.7370988706696102,0.6305674549420893,329502,1
GO:0005261,monoatomic cation channel activity,1/123,316/28171,0.7510600735448355,0.765643764293279,0.6549868125616688,12290,1
GO:0001664,G protein-coupled receptor binding,1/123,328/28171,0.7639378618887107,0.7723362800805068,0.6607120725166575,12062,1
GO:0031625,ubiquitin protein ligase binding,1/123,329/28171,0.7649806964606924,0.7723362800805068,0.6607120725166575,19229,1
GO:0051020,GTPase binding,1/123,329/28171,0.7649806964606924,0.7723362800805068,0.6607120725166575,269589,1
GO:0044389,ubiquitin-like protein ligase binding,1/123,348/28171,0.7839485671192132,0.7889578231391444,0.6749313374222923,19229,1
GO:0030674,protein-macromolecule adaptor activity,1/123,381/28171,0.813352419206312,0.8141785312047871,0.6965069473297426,80891,1
GO:0061629,RNA polymerase II-specific DNA-binding transcription factor binding,1/123,382/28171,0.8141785312047871,0.8141785312047871,0.6965069473297426,59030,1
